															
		Database													
ID	DEX	NAME	TYPE	TYPE 2	REGION	CATEGORY	IS OUT?	CAN BE TRADED?	CAN BE SHINY?	SPECIAL	CAN BE MALE?	CAN BE FEMALE?	GENDER	ICON	SORT
1	001	Bulbasaur	GRASS	POISON	KANTO	COSTUME	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_001_00.png	1
2	002	Ivysaur	GRASS	POISON	KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_002_00.png	2
3	003	Venusaur	GRASS	POISON	KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_003_00.png	3
4	003	Venusaur: (Mega Venusaur)	GRASS	POISON	KANTO	MEGA	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	BOTH		10000
5	004	Charmander	FIRE		KANTO	COSTUME	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_004_00.png	4
6	005	Charmeleon	FIRE		KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_005_00.png	5
7	006	Charizard	FIRE	FLYING	KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_006_00.png	6
8	006	Charizard: (Mega Charizard X)	FIRE	DRAGON	KANTO	MEGA	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	BOTH		10000
9	006	Charizard: (Mega Charizard Y)	FIRE	FLYING	KANTO	MEGA	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	BOTH		10000
10	007	Squirtle	WATER		KANTO	COSTUME	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_007_00.png	7
11	008	Wartortle	WATER		KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_008_00.png	8
12	009	Blastoise	WATER		KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_009_00.png	9
13	009	Blastoise: (Mega Blastoise)	WATER		KANTO	MEGA	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	BOTH		10000
14	010	Caterpie	BUG		KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_010_00.png	10
15	011	Metapod	BUG		KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_011_00.png	11
16	012	Butterfree	BUG	FLYING	KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_012_00.png	12
17	013	Weedle	BUG	POISON	KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_013_00.png	13
18	014	Kakuna	BUG	POISON	KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_014_00.png	14
19	015	Beedrill	BUG	POISON	KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_015_00.png	15
20	015	Beedrill: (Mega Beedrill)	BUG	POISON	KANTO	MEGA	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	BOTH		10000
21	016	Pidgey	NORMAL	FLYING	KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_016_00.png	16
22	017	Pidgeotto	NORMAL	FLYING	KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_017_00.png	17
23	018	Pidgeot	NORMAL	FLYING	KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_018_00.png	18
24	018	Pidgeot: (Mega Pidgeot)	NORMAL	FLYING	KANTO	MEGA	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	BOTH		10000
25	019	Rattata	NORMAL		KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_019_00.png	19
26	019	Rattata: (Alolan)	NORMAL	DARK	KANTO	ALOLA	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_019_61.png	20
27	020	Raticate	NORMAL		KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_020_00.png	21
28	020	Raticate: (Alolan)	NORMAL	DARK	KANTO	ALOLA	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_020_61.png	22
29	021	Spearow	NORMAL	FLYING	KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_021_00.png	23
30	022	Fearow	NORMAL	FLYING	KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_022_00.png	24
31	023	Ekans	POISON		KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_023_00.png	25
32	024	Arbok	POISON		KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_024_00.png	26
33	025	Pikachu	ELECTRIC		KANTO	COSTUME	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_025_00.png	27
34	026	Raichu	ELECTRIC		KANTO	COSTUME	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_026_00.png	28
35	026	Raichu: (Alolan)	ELECTRIC	PSYCHIC	KANTO	ALOLA	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_026_61.png	29
36	027	Sandshrew	GROUND		KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_027_00.png	30
37	027	Sandshrew: (Alolan)	ICE	STEEL	KANTO	ALOLA	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_027_61.png	31
